averageUpload,averageGetData,fileSize
1095.8181142807007,338.47007751464844,1000
1275.736904144287,323.53577613830566,10000
1199.8680591583252,335.18264293670654,100000
1458.8263034820557,382.87816047668457,1000000
2671.1833715438843,961.7481708526611,10000000
18095.915961265564,10088.08822631836,100000000
39788.516879081726,18431.68981075287,200000000
65164.41669464112,27026.808738708496,300000000
87127.37367153168,36533.09292793274,400000000
102260.23414134979,44767.4352645874,500000000


